,precision,recall,f1-score,support
0_good,0.3114754098360656,0.9925373134328358,0.4741532976827095,134.0
1_defective,0.9905660377358491,0.2631578947368421,0.4158415841584158,399.0
accuracy,0.44652908067542213,0.44652908067542213,0.44652908067542213,0.44652908067542213
macro avg,0.6510207237859573,0.627847604084839,0.44499744092056265,533.0
weighted avg,0.8198378123351531,0.44652908067542213,0.4305015646692138,533.0
